,code_commune_INSEE,code_postal,latitude,longitude,nom_commune_complet,nom_departement,nom_region
194,1190,1680,45.7919647191,5.57389398559,Innimond,Ain,Auvergne-Rhône-Alpes
195,1191,1430,46.0381623415,5.52447901164,Izenave,Ain,Auvergne-Rhône-Alpes
196,1192,1580,46.2179780137,5.56258251719,Izernore,Ain,Auvergne-Rhône-Alpes
197,1193,1300,45.6557496407,5.63909140794,Izieu,Ain,Auvergne-Rhône-Alpes
198,1194,1480,45.9777239103,4.75984637871,Jassans-Riottier,Ain,Auvergne-Rhône-Alpes
199,1195,1250,46.2150037064,5.31215372338,Jasseron,Ain,Auvergne-Rhône-Alpes
200,1196,1340,46.3660828991,5.11429701617,Jayat,Ain,Auvergne-Rhône-Alpes
201,1197,1250,46.1464982407,5.33452833151,Journans,Ain,Auvergne-Rhône-Alpes
202,1198,1800,45.9499899849,5.10261326872,Joyeux,Ain,Auvergne-Rhône-Alpes
203,1199,1640,46.0497041467,5.41094771899,Jujurieux,Ain,Auvergne-Rhône-Alpes
204,1200,1450,46.0932491295,5.49438685213,Labalme,Ain,Auvergne-Rhône-Alpes
205,1202,1150,45.8917015798,5.32917518895,Lagnieu,Ain,Auvergne-Rhône-Alpes
206,1203,1290,46.2469919709,4.89933490972,Laiz,Ain,Auvergne-Rhône-Alpes
207,1204,1130,46.1479592076,5.71829194244,Le Poizat-Lalleyriat,Ain,Auvergne-Rhône-Alpes
208,1204,1130,46.1479592076,5.71829194244,Le Poizat-Lalleyriat,Ain,Auvergne-Rhône-Alpes
209,1205,1200,46.1323202721,5.84050985141,Lancrans,Ain,Auvergne-Rhône-Alpes
210,1206,1430,46.0544405897,5.54127421165,Lantenay,Ain,Auvergne-Rhône-Alpes
211,1207,1330,45.9859131165,4.98196682865,Lapeyrouse,Ain,Auvergne-Rhône-Alpes
212,1208,1350,45.8108837933,5.77267317838,Lavours,Ain,Auvergne-Rhône-Alpes
213,1209,1200,46.1086518044,5.87649017888,Léaz,Ain,Auvergne-Rhône-Alpes
214,1210,1410,46.2855010936,5.92927713771,Lélex,Ain,Auvergne-Rhône-Alpes
215,1211,1240,46.1160216305,5.20200684747,Lent,Ain,Auvergne-Rhône-Alpes
216,1212,1560,46.4114892731,5.15107164478,Lescheroux,Ain,Auvergne-Rhône-Alpes
217,1213,1150,45.9269989549,5.2947657235,Leyment,Ain,Auvergne-Rhône-Alpes
218,1214,1450,46.1624187428,5.47633297491,Leyssard,Ain,Auvergne-Rhône-Alpes
219,1215,1420,46.0238143134,5.76236736492,Lhôpital,Ain,Auvergne-Rhône-Alpes
220,1216,1680,45.7444141403,5.53602066955,Lhuis,Ain,Auvergne-Rhône-Alpes
221,1218,1260,45.9302479879,5.7413126836,Lochieu,Ain,Auvergne-Rhône-Alpes
222,1219,1680,45.8105943351,5.52320457866,Lompnas,Ain,Auvergne-Rhône-Alpes
223,1221,1260,45.9690865613,5.65968816497,Lompnieu,Ain,Auvergne-Rhône-Alpes
224,1224,1360,45.7921564114,5.21770971647,Loyettes,Ain,Auvergne-Rhône-Alpes
